record_type,time_sec,color,x,y,z,scenario,count_red,count_green,count_blue,count_total,extra_notes
obstacle,18.61,,-1.33,-1.39,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.48 m, steering left"
obstacle,113.51,,-5.22,3.14,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,114.41,,-5.23,3.16,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,119.50,,-5.25,3.19,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,123.91,,-5.26,3.23,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,126.06,,-5.27,3.35,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,126.80,,-5.27,3.45,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,129.41,,-5.28,3.57,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,140.52,,-5.20,4.24,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,152.82,,-5.18,4.27,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,154.61,,-5.17,4.28,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,156.61,,-5.14,4.29,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,161.41,,-5.10,4.31,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,162.41,,-5.09,4.31,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,164.10,,-5.06,4.32,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,164.91,,-5.02,4.32,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,165.72,,-4.98,4.32,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,167.83,,-4.93,4.33,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,168.51,,-4.88,4.33,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,169.53,,-4.82,4.33,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,213.91,,1.62,0.95,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.48 m, steering right"
obstacle,304.01,,-1.97,4.24,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,328.71,,-1.97,4.27,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,331.41,,-1.96,4.28,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,333.11,,-1.95,4.29,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,334.50,,-1.94,4.29,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,335.20,,-1.92,4.30,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,339.63,,-1.89,4.31,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,343.40,,-1.84,4.32,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,345.81,,-1.82,4.32,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,346.96,,-1.80,4.32,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,347.73,,-1.76,4.32,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,350.01,,-1.70,4.33,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,408.22,,5.89,-0.39,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,412.71,,5.91,-0.40,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,415.20,,5.92,-0.40,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,417.80,,5.93,-0.41,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,422.31,,5.94,-0.43,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,424.41,,5.95,-0.43,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,425.71,,5.95,-0.45,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,426.44,,5.96,-0.45,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.49 m, steering right"
obstacle,429.00,,5.97,-0.49,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
obstacle,443.50,,5.74,-2.40,0.00,AdaptiveCoverage_Obstacles,,,,,"Obstacle at 0.50 m, steering right"
