record_type,time_sec,color,x,y,z,scenario,count_red,count_green,count_blue,count_total,extra_notes
blue,9.06,,-0.86,-1.03,0.07,reversing_demo,,,,,
blue,9.06,,1.84,0.24,0.07,reversing_demo,,,,,
green,9.06,,1.24,-2.62,0.07,reversing_demo,,,,,
green,9.06,,4.15,-0.65,0.07,reversing_demo,,,,,
green,32.45,,3.11,-3.36,0.01,reversing_demo,,,,,
blue,32.46,,3.78,1.03,0.01,reversing_demo,,,,,
red,32.46,,6.93,-3.27,0.05,reversing_demo,,,,,
green,32.46,,6.51,-0.33,0.04,reversing_demo,,,,,
blue,32.46,,5.87,4.06,0.03,reversing_demo,,,,,
red,35.33,,5.15,-2.78,0.07,reversing_demo,,,,,
blue,35.34,,3.98,2.84,0.07,reversing_demo,,,,,
red,37.75,,1.60,4.28,0.01,reversing_demo,,,,,
blue,45.75,,5.23,3.76,0.05,reversing_demo,,,,,
green,54.54,,-3.55,4.78,0.01,reversing_demo,,,,,
red,57.04,,0.33,2.53,0.07,reversing_demo,,,,,
green,57.05,,-2.91,2.71,0.07,reversing_demo,,,,,
red,142.74,,2.41,1.90,0.01,reversing_demo,,,,,
blue,169.42,,0.47,-3.70,0.01,reversing_demo,,,,,
red,169.42,,-2.05,-5.20,0.04,reversing_demo,,,,,
blue,169.42,,4.85,-1.81,0.01,reversing_demo,,,,,
red,174.63,,-2.32,-3.06,0.07,reversing_demo,,,,,
red,253.75,,-1.53,-4.62,0.04,reversing_demo,,,,,
blue,253.75,,1.47,-2.87,0.02,reversing_demo,,,,,
red,261.36,,-2.91,-1.17,0.11,reversing_demo,,,,,
blue,261.36,,4.67,-0.50,0.02,reversing_demo,,,,,
blue,274.25,,0.51,-2.14,0.00,reversing_demo,,,,,
green,274.25,,7.48,-1.08,0.02,reversing_demo,,,,,
blue,284.15,,-0.42,-1.51,0.00,reversing_demo,,,,,
green,284.15,,2.72,-3.96,0.01,reversing_demo,,,,,
green,295.28,,2.27,-3.39,0.03,reversing_demo,,,,,
green,298.07,,2.09,-0.39,0.11,reversing_demo,,,,,
red,298.08,,3.56,-2.16,0.10,reversing_demo,,,,,
blue,337.86,,6.08,3.39,0.01,reversing_demo,,,,,
blue,354.48,,2.63,-0.33,0.01,reversing_demo,,,,,
green,354.57,,5.91,-1.64,0.02,reversing_demo,,,,,
red,354.63,,5.63,-3.48,0.07,reversing_demo,,,,,
green,365.78,,2.22,0.44,0.13,reversing_demo,,,,,
red,369.15,,7.33,-4.88,0.02,reversing_demo,,,,,
green,390.60,,1.41,-4.48,0.01,reversing_demo,,,,,
blue,393.37,,-1.81,-1.98,0.00,reversing_demo,,,,,
red,393.37,,-2.93,-3.85,0.05,reversing_demo,,,,,
SUMMARY,424.29,,,,,reversing_demo,13,13,15,41,Run completed or interrupted.
