record_type,time_sec,color,x,y,z,scenario,count_red,count_green,count_blue,count_total,extra_notes
DETECTION,8.72,red,2.67,3.92,0.01,warehouse_improved,,,,,
DETECTION,8.74,green,3.74,-3.81,0.02,warehouse_improved,,,,,
DETECTION,8.78,blue,4.14,0.48,0.03,warehouse_improved,,,,,
DETECTION,8.80,blue,1.54,-1.81,0.01,warehouse_improved,,,,,
DETECTION,21.11,red,0.31,2.63,0.07,warehouse_improved,,,,,
DETECTION,21.12,blue,1.83,0.51,0.07,warehouse_improved,,,,,
DETECTION,21.13,green,4.18,-0.23,0.07,warehouse_improved,,,,,
DETECTION,32.63,blue,6.91,4.07,0.03,warehouse_improved,,,,,
DETECTION,43.71,blue,4.01,3.02,0.07,warehouse_improved,,,,,
DETECTION,47.28,red,1.34,3.03,0.00,warehouse_improved,,,,,
DETECTION,60.50,blue,6.67,3.01,0.01,warehouse_improved,,,,,
DETECTION,183.17,red,5.08,-2.81,0.07,warehouse_improved,,,,,
DETECTION,187.74,blue,4.16,1.60,0.00,warehouse_improved,,,,,
DETECTION,209.06,blue,4.11,2.25,0.02,warehouse_improved,,,,,
DETECTION,209.06,red,5.68,-4.65,0.04,warehouse_improved,,,,,
DETECTION,233.28,green,4.10,-2.34,0.01,warehouse_improved,,,,,
DETECTION,233.29,red,5.58,-5.52,0.02,warehouse_improved,,,,,
DETECTION,282.19,green,3.89,-1.55,0.00,warehouse_improved,,,,,
DETECTION,336.92,red,5.26,-4.21,0.01,warehouse_improved,,,,,
SUMMARY,417.60,,,,,warehouse_improved,7,4,8,19,User interrupted or run completed.
