record_type,time_sec,color,x,y,z,scenario,count_red,count_green,count_blue,count_total,extra_notes
DETECTION,6.05,red,0.33,2.52,0.07,reversing_demo,,,,,
DETECTION,6.05,green,1.24,-2.50,0.07,reversing_demo,,,,,
DETECTION,6.05,blue,1.79,0.37,0.07,reversing_demo,,,,,
DETECTION,6.05,blue,-0.88,-0.95,0.08,reversing_demo,,,,,
DETECTION,9.21,red,2.69,3.79,0.01,reversing_demo,,,,,
DETECTION,9.21,blue,4.69,0.37,0.01,reversing_demo,,,,,
DETECTION,9.22,blue,1.19,-1.78,0.01,reversing_demo,,,,,
DETECTION,16.43,red,1.86,3.54,0.01,reversing_demo,,,,,
DETECTION,16.45,blue,7.18,4.06,0.02,reversing_demo,,,,,
DETECTION,24.10,blue,4.03,2.79,0.07,reversing_demo,,,,,
DETECTION,32.17,red,1.30,2.84,0.01,reversing_demo,,,,,
DETECTION,32.18,blue,6.70,3.14,0.02,reversing_demo,,,,,
DETECTION,117.05,red,5.05,-2.82,0.08,reversing_demo,,,,,
DETECTION,124.00,blue,4.20,1.76,0.00,reversing_demo,,,,,
DETECTION,133.99,green,4.13,-2.69,0.01,reversing_demo,,,,,
DETECTION,133.99,red,5.64,-5.96,0.03,reversing_demo,,,,,
DETECTION,139.23,green,4.24,-0.50,0.07,reversing_demo,,,,,
DETECTION,143.98,red,5.43,-5.13,0.03,reversing_demo,,,,,
DETECTION,266.40,red,-2.13,-3.11,0.07,reversing_demo,,,,,
DETECTION,291.87,red,-6.39,-1.67,-0.03,reversing_demo,,,,,
DETECTION,314.07,red,-2.99,-2.58,0.00,reversing_demo,,,,,
DETECTION,379.75,green,-2.87,2.71,0.07,reversing_demo,,,,,
DETECTION,406.75,green,-2.15,4.88,0.02,reversing_demo,,,,,
DETECTION,475.51,red,-2.10,3.21,0.12,reversing_demo,,,,,
DETECTION,496.60,red,-1.68,-5.38,0.03,reversing_demo,,,,,
DETECTION,496.63,blue,0.87,-3.30,0.01,reversing_demo,,,,,
DETECTION,496.65,green,3.48,-4.98,0.02,reversing_demo,,,,,
DETECTION,496.65,blue,4.76,-0.92,0.02,reversing_demo,,,,,
DETECTION,523.45,red,6.77,-3.56,0.04,reversing_demo,,,,,
DETECTION,553.49,red,6.30,-3.18,0.02,reversing_demo,,,,,
DETECTION,599.41,red,6.40,-2.55,0.03,reversing_demo,,,,,
DETECTION,611.72,green,5.53,1.18,0.01,reversing_demo,,,,,
DETECTION,611.72,blue,4.97,5.35,0.03,reversing_demo,,,,,
DETECTION,619.52,blue,1.98,2.27,0.01,reversing_demo,,,,,
DETECTION,619.52,red,-0.04,4.73,0.03,reversing_demo,,,,,
DETECTION,621.91,blue,4.76,4.68,0.04,reversing_demo,,,,,
DETECTION,626.93,green,-3.89,4.22,0.05,reversing_demo,,,,,
DETECTION,634.75,blue,-2.13,0.02,0.02,reversing_demo,,,,,
DETECTION,634.76,red,-0.23,5.75,0.06,reversing_demo,,,,,
DETECTION,637.39,blue,-2.95,0.75,0.04,reversing_demo,,,,,
DETECTION,637.39,blue,2.13,3.82,0.01,reversing_demo,,,,,
DETECTION,640.10,blue,2.07,1.47,0.05,reversing_demo,,,,,
DETECTION,640.11,red,0.38,3.69,0.06,reversing_demo,,,,,
DETECTION,649.87,green,-3.18,2.38,-0.62,reversing_demo,,,,,
DETECTION,664.38,red,1.76,-2.43,0.06,reversing_demo,,,,,
SUMMARY,673.76,,,,,reversing_demo,19,9,17,45,Run completed or interrupted.
