record_type,time_sec,color,x,y,z,scenario,count_red,count_green,count_blue,count_total,extra_notes
DETECTION,4.01,green,1.26,-2.48,0.07,warehouse_improved,,,,,
DETECTION,4.02,blue,1.79,0.41,0.07,warehouse_improved,,,,,
DETECTION,4.02,red,0.72,2.34,0.07,warehouse_improved,,,,,
DETECTION,4.03,red,-0.70,-0.06,0.08,warehouse_improved,,,,,
DETECTION,24.65,blue,4.09,2.63,0.06,warehouse_improved,,,,,
DETECTION,51.94,blue,5.96,2.82,0.01,warehouse_improved,,,,,
DETECTION,136.39,blue,4.22,1.71,0.00,warehouse_improved,,,,,
DETECTION,136.39,red,5.24,-3.50,0.06,warehouse_improved,,,,,
DETECTION,161.21,green,4.15,-0.46,0.07,warehouse_improved,,,,,
DETECTION,161.21,red,5.13,-2.81,0.07,warehouse_improved,,,,,
DETECTION,283.54,blue,-2.08,-2.97,0.08,warehouse_improved,,,,,
DETECTION,291.91,blue,-6.07,-2.54,0.01,warehouse_improved,,,,,
DETECTION,405.44,green,-2.57,4.53,0.05,warehouse_improved,,,,,
DETECTION,423.29,green,-2.99,2.76,0.07,warehouse_improved,,,,,
DETECTION,535.78,red,3.40,1.26,0.01,warehouse_improved,,,,,
DETECTION,539.02,blue,4.49,-1.49,0.02,warehouse_improved,,,,,
DETECTION,560.43,red,2.99,1.91,0.01,warehouse_improved,,,,,
DETECTION,560.43,blue,4.00,-0.71,0.02,warehouse_improved,,,,,
DETECTION,560.44,red,1.10,-1.99,0.02,warehouse_improved,,,,,
DETECTION,1269.29,red,0.36,-1.68,0.01,warehouse_improved,,,,,
DETECTION,1269.31,green,2.97,-4.87,0.03,warehouse_improved,,,,,
DETECTION,1281.47,red,-0.25,-1.35,0.01,warehouse_improved,,,,,
DETECTION,1281.48,blue,3.30,-0.70,0.01,warehouse_improved,,,,,
DETECTION,1281.52,green,7.10,-2.28,0.01,warehouse_improved,,,,,
DETECTION,1291.96,green,1.98,-4.31,0.02,warehouse_improved,,,,,
DETECTION,1297.22,red,8.18,-4.92,0.02,warehouse_improved,,,,,
DETECTION,1301.79,blue,3.23,-0.02,0.01,warehouse_improved,,,,,
DETECTION,1338.21,green,5.41,-0.36,0.01,warehouse_improved,,,,,
DETECTION,1338.21,red,6.06,-3.30,0.04,warehouse_improved,,,,,
DETECTION,1413.60,blue,4.57,3.63,0.01,warehouse_improved,,,,,
DETECTION,1469.59,red,-2.80,-1.18,0.00,warehouse_improved,,,,,
DETECTION,1469.60,red,-1.14,2.50,0.00,warehouse_improved,,,,,
DETECTION,1478.73,blue,0.60,-0.94,0.01,warehouse_improved,,,,,
DETECTION,1496.16,red,-1.93,-0.57,0.01,warehouse_improved,,,,,
DETECTION,1496.17,blue,-3.60,-4.57,0.03,warehouse_improved,,,,,
SUMMARY,1528.08,,,,,warehouse_improved,14,8,13,35,User interrupted or run completed.
